epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,2808.63,1.02262,0.34026,0.05338,0.85347,0.93814,0.78474,0.78613,0.87115,0.66707,0.7871,0.7855,0.87186,0.86182,0.84203,0.14808,0.00906,0.74037,0.90072,0.006898,0.006898,0.006898
49,2867.32,1.0013,0.32956,0.05229,0.84279,0.92869,0.76456,0.81699,0.85449,0.65935,0.76444,0.81645,0.85419,0.84813,0.85178,0.14095,0.00886,0.75354,0.89975,0.006832,0.006832,0.006832
50,2925.46,1.01451,0.31003,0.05311,0.84684,0.92903,0.74964,0.8203,0.86703,0.67105,0.74564,0.82664,0.86554,0.85375,0.85426,0.16358,0.00654,0.73931,0.90626,0.006766,0.006766,0.006766
51,2984.12,1.00219,0.32988,0.05398,0.83318,0.92892,0.80251,0.80755,0.88344,0.68795,0.80251,0.80755,0.88319,0.87575,0.81686,0.12362,0.00999,0.71498,0.89683,0.0067,0.0067,0.0067
52,3042.19,1.00584,0.32519,0.05342,0.8246,0.92771,0.7825,0.82664,0.87141,0.67512,0.7815,0.82558,0.8704,0.86024,0.84802,0.14408,0.00808,0.73791,0.90206,0.006634,0.006634,0.006634
53,3100.42,1.01965,0.34327,0.0515,0.84977,0.93151,0.76081,0.85406,0.87355,0.67594,0.75769,0.85729,0.87255,0.86731,0.84102,0.12999,0.00813,0.71916,0.89219,0.006568,0.006568,0.006568
54,3158.54,1.01202,0.32022,0.05286,0.84286,0.93315,0.80503,0.83404,0.89197,0.68697,0.80628,0.83404,0.89217,0.88226,0.82942,0.14566,0.00737,0.72097,0.89602,0.006502,0.006502,0.006502
55,3217.03,1.00034,0.32291,0.0518,0.83174,0.92468,0.81744,0.80867,0.88918,0.68433,0.81851,0.80973,0.88971,0.87898,0.84546,0.14016,0.00644,0.72063,0.90394,0.006436,0.006436,0.006436
56,3275.44,0.99966,0.32957,0.05231,0.83404,0.92772,0.77401,0.81712,0.8676,0.6657,0.77101,0.81395,0.86352,0.85516,0.83111,0.14162,0.00851,0.74284,0.88922,0.00637,0.00637,0.00637
57,3333.37,0.98899,0.29791,0.05122,0.82678,0.92251,0.7561,0.81818,0.85854,0.65565,0.75415,0.81607,0.85471,0.849,0.85039,0.13233,0.00832,0.73723,0.90159,0.006304,0.006304,0.006304
58,3391.2,0.98999,0.31106,0.04798,0.82403,0.92618,0.76286,0.8351,0.88155,0.68189,0.76189,0.83404,0.88058,0.87205,0.82262,0.12828,0.00672,0.69422,0.8937,0.006238,0.006238,0.006238
59,3449.02,0.99424,0.31573,0.05185,0.82376,0.9314,0.77981,0.79387,0.8711,0.66157,0.77892,0.78954,0.8673,0.85925,0.84629,0.1417,0.00723,0.7336,0.90117,0.006172,0.006172,0.006172
60,3507.1,0.97997,0.30472,0.04995,0.81953,0.92409,0.74461,0.85065,0.86551,0.66982,0.74973,0.84234,0.86548,0.85824,0.83696,0.11692,0.00823,0.71709,0.89383,0.006106,0.006106,0.006106
61,3565.34,0.99432,0.3293,0.04929,0.82523,0.9273,0.75924,0.83192,0.87641,0.67429,0.7587,0.83427,0.87548,0.86635,0.81264,0.13478,0.00824,0.71466,0.88896,0.00604,0.00604,0.00604
62,3623.63,0.9732,0.30459,0.04812,0.80703,0.92103,0.7617,0.82981,0.87568,0.67559,0.76796,0.82215,0.87413,0.86504,0.84702,0.13758,0.00829,0.70299,0.89896,0.005974,0.005974,0.005974
63,3682.08,0.97571,0.27606,0.04975,0.80675,0.92006,0.7936,0.81501,0.88654,0.68427,0.78877,0.82135,0.88656,0.88094,0.81749,0.10995,0.00711,0.71568,0.88705,0.005908,0.005908,0.005908
64,3740.44,0.97505,0.29631,0.04716,0.80361,0.92174,0.78402,0.82886,0.88292,0.68675,0.78807,0.82558,0.88064,0.87154,0.81377,0.14778,0.00709,0.71606,0.88965,0.005842,0.005842,0.005842
65,3798.55,0.97212,0.28657,0.0473,0.8018,0.92147,0.77516,0.84461,0.88874,0.69637,0.77843,0.84567,0.88907,0.88018,0.78361,0.11306,0.00583,0.68793,0.88354,0.005776,0.005776,0.005776
66,3856.93,0.9747,0.30063,0.04672,0.80915,0.91952,0.82167,0.80655,0.89295,0.68959,0.82095,0.80941,0.89076,0.88292,0.80942,0.12032,0.00729,0.70222,0.88988,0.00571,0.00571,0.00571
67,3914.96,0.97841,0.27998,0.04779,0.80503,0.92024,0.78548,0.83404,0.88874,0.70494,0.79014,0.82782,0.88766,0.87974,0.78621,0.12993,0.00721,0.68283,0.88627,0.005644,0.005644,0.005644
68,3973.43,0.95496,0.27884,0.04758,0.78883,0.91817,0.78712,0.85729,0.89955,0.69569,0.7886,0.84884,0.89416,0.88856,0.813,0.11425,0.00657,0.6879,0.88799,0.005578,0.005578,0.005578
69,4031.23,0.94994,0.27993,0.04607,0.79052,0.91412,0.79851,0.83932,0.89266,0.70011,0.79951,0.84038,0.89324,0.88628,0.79622,0.11641,0.00617,0.68857,0.88395,0.005512,0.005512,0.005512
70,4089.85,0.94894,0.28836,0.04731,0.7876,0.91627,0.79059,0.83012,0.89604,0.70223,0.78525,0.83877,0.89586,0.8899,0.79168,0.10829,0.00625,0.67434,0.88013,0.005446,0.005446,0.005446
71,4147.64,0.94567,0.27851,0.04654,0.78872,0.91432,0.78957,0.86069,0.89534,0.7046,0.78779,0.85939,0.89196,0.88503,0.81308,0.11579,0.00596,0.68291,0.88786,0.00538,0.00538,0.00538
72,4205.66,0.9587,0.28435,0.04672,0.7854,0.91574,0.77389,0.86892,0.89325,0.69802,0.77566,0.86047,0.88807,0.88301,0.80024,0.12122,0.00602,0.68168,0.88454,0.005314,0.005314,0.005314
73,4264.12,0.94307,0.27507,0.04647,0.77325,0.91125,0.80981,0.82815,0.89615,0.70947,0.81084,0.82921,0.89662,0.88935,0.77748,0.11748,0.00742,0.65974,0.87544,0.005248,0.005248,0.005248
74,4321.91,0.93789,0.26332,0.04402,0.76936,0.90428,0.78341,0.85647,0.89393,0.70537,0.78341,0.85647,0.89253,0.88562,0.79976,0.12447,0.00646,0.71445,0.88323,0.005182,0.005182,0.005182
75,4380.15,0.94709,0.27067,0.04697,0.78302,0.911,0.75982,0.82875,0.87809,0.69557,0.75982,0.82875,0.87701,0.87186,0.79794,0.11982,0.00503,0.70768,0.88206,0.005116,0.005116,0.005116
76,4438.31,0.94187,0.26071,0.0473,0.76588,0.91514,0.78702,0.86469,0.90254,0.71642,0.78647,0.86432,0.89996,0.89501,0.77054,0.09726,0.0052,0.65183,0.87659,0.00505,0.00505,0.00505
77,4496.86,0.9359,0.2621,0.04531,0.7651,0.91204,0.78828,0.8351,0.89278,0.69811,0.78794,0.83404,0.89117,0.88433,0.79007,0.11841,0.00492,0.67029,0.88172,0.004984,0.004984,0.004984
78,4554.79,0.93453,0.27404,0.04422,0.76479,0.91305,0.76758,0.85095,0.8867,0.70054,0.76853,0.85201,0.88625,0.87802,0.79546,0.12573,0.00497,0.6913,0.87703,0.004918,0.004918,0.004918
79,4613.46,0.93274,0.26775,0.04542,0.76697,0.91084,0.81483,0.81501,0.89928,0.71133,0.76989,0.86575,0.898,0.88985,0.79555,0.11945,0.00706,0.6669,0.88287,0.004852,0.004852,0.004852
80,4671.3,0.93262,0.25747,0.04295,0.76657,0.91065,0.79276,0.83721,0.89866,0.70912,0.79176,0.83615,0.89676,0.8902,0.78717,0.11317,0.0055,0.66452,0.87909,0.004786,0.004786,0.004786
81,4729.73,0.92518,0.26365,0.04194,0.75715,0.90481,0.76216,0.87104,0.89285,0.71242,0.76509,0.86258,0.89125,0.8854,0.7788,0.11256,0.00538,0.68247,0.88143,0.00472,0.00472,0.00472
82,4787.91,0.93252,0.26255,0.04331,0.75565,0.90918,0.80058,0.83192,0.89373,0.71162,0.79956,0.83087,0.8912,0.88647,0.76297,0.10363,0.00468,0.66351,0.87558,0.004654,0.004654,0.004654
83,4845.88,0.9193,0.26132,0.04497,0.7462,0.90624,0.75693,0.86998,0.88922,0.70784,0.75601,0.86892,0.88684,0.88107,0.77574,0.11726,0.00627,0.66377,0.8764,0.004588,0.004588,0.004588
84,4904.35,0.90621,0.24262,0.04284,0.73682,0.90259,0.79577,0.85201,0.91036,0.72451,0.79409,0.85729,0.90853,0.90388,0.75915,0.11133,0.00604,0.64479,0.87583,0.004522,0.004522,0.004522
85,4962.17,0.91749,0.25355,0.04206,0.74425,0.90335,0.80727,0.85014,0.90768,0.71923,0.80508,0.84567,0.90558,0.89971,0.77748,0.10656,0.00478,0.64769,0.88082,0.004456,0.004456,0.004456
86,5020.75,0.90908,0.24492,0.04254,0.74753,0.90149,0.80376,0.86892,0.91035,0.73199,0.80446,0.86892,0.90918,0.90275,0.75238,0.10828,0.00546,0.62136,0.8687,0.00439,0.00439,0.00439
87,5078.89,0.90376,0.24423,0.04058,0.73681,0.90295,0.80524,0.85835,0.90032,0.71699,0.80425,0.85729,0.90016,0.89479,0.76561,0.10685,0.00616,0.65938,0.87713,0.004324,0.004324,0.004324
88,5137.32,0.9177,0.25137,0.04309,0.74399,0.90468,0.79505,0.86934,0.90165,0.72209,0.79505,0.86934,0.90062,0.89533,0.75274,0.10294,0.00592,0.64137,0.87167,0.004258,0.004258,0.004258
89,5194.86,0.89081,0.22868,0.04171,0.7265,0.89813,0.81144,0.85201,0.90651,0.72613,0.81236,0.84778,0.90589,0.89977,0.75452,0.10548,0.00485,0.64906,0.86953,0.004192,0.004192,0.004192
90,5253.16,0.90756,0.25305,0.03971,0.73366,0.90689,0.8237,0.8297,0.9028,0.72564,0.82255,0.8281,0.89771,0.89263,0.74363,0.10678,0.00457,0.63439,0.86794,0.004126,0.004126,0.004126
91,5311.58,0.89564,0.22168,0.04215,0.72313,0.89918,0.82072,0.85201,0.90952,0.7324,0.8197,0.85095,0.90761,0.9035,0.75009,0.0969,0.00468,0.63729,0.86948,0.00406,0.00406,0.00406
92,5369.53,0.88564,0.22886,0.03935,0.71333,0.89564,0.79738,0.84038,0.89838,0.71533,0.801,0.84248,0.89874,0.89034,0.76293,0.12037,0.00511,0.65347,0.87627,0.003994,0.003994,0.003994
93,5427.58,0.89047,0.23387,0.0418,0.73104,0.90089,0.78812,0.85624,0.89218,0.71339,0.7891,0.85729,0.89283,0.88668,0.74833,0.09853,0.00426,0.65873,0.87416,0.003928,0.003928,0.003928
94,5485.76,0.88889,0.2298,0.03993,0.72211,0.89698,0.80619,0.85306,0.89793,0.72733,0.80619,0.85306,0.89706,0.89095,0.74517,0.1156,0.00547,0.64921,0.86772,0.003862,0.003862,0.003862
95,5543.69,0.88723,0.22757,0.03954,0.71543,0.89674,0.82084,0.83404,0.89789,0.72127,0.82188,0.8351,0.89779,0.89012,0.7535,0.10613,0.00472,0.65683,0.87079,0.003796,0.003796,0.003796
