epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3126.03,1.09382,0.42348,0.05852,0.89501,1.02452,0.7386,0.80945,0.85218,0.62077,0.74246,0.81368,0.85275,0.84094,0.92454,0.16742,0.00906,0.79241,0.97658,0.006502,0.006502,0.006502
55,3184.05,1.11248,0.43831,0.05682,0.8936,1.02372,0.72656,0.84545,0.85456,0.62123,0.72838,0.84756,0.85732,0.84077,0.93941,0.17919,0.00632,0.80085,0.97478,0.006436,0.006436,0.006436
56,3244.13,1.10142,0.42549,0.05879,0.89589,1.02457,0.74832,0.84038,0.86199,0.63468,0.74735,0.83721,0.86233,0.84866,0.92509,0.17245,0.00714,0.77824,0.97348,0.00637,0.00637,0.00637
57,3302.18,1.09174,0.41008,0.05804,0.87924,1.01902,0.75597,0.81818,0.84667,0.61985,0.75401,0.81607,0.84491,0.8324,0.90197,0.17174,0.00653,0.76157,0.96704,0.006304,0.006304,0.006304
58,3360.34,1.08954,0.42598,0.05418,0.88247,1.02124,0.73374,0.80761,0.84113,0.61451,0.73449,0.81,0.8423,0.82898,0.91991,0.18083,0.00836,0.80971,0.9727,0.006238,0.006238,0.006238
59,3418.58,1.09425,0.41137,0.05741,0.89028,1.02609,0.76516,0.81283,0.85842,0.62528,0.76516,0.81283,0.85976,0.84566,0.88802,0.15313,0.00495,0.79212,0.96472,0.006172,0.006172,0.006172
60,3476.82,1.08436,0.41566,0.0548,0.87759,1.01659,0.74194,0.81818,0.85347,0.62851,0.74213,0.81712,0.85103,0.84025,0.94308,0.16488,0.0081,0.79391,0.97942,0.006106,0.006106,0.006106
61,3534.55,1.10628,0.41725,0.05366,0.88707,1.01808,0.74471,0.82951,0.86446,0.63258,0.74093,0.82241,0.85818,0.84591,0.92852,0.20784,0.00465,0.77529,0.96672,0.00604,0.00604,0.00604
62,3593.2,1.08044,0.40064,0.05493,0.86978,1.01424,0.75969,0.82542,0.86564,0.64074,0.76066,0.82647,0.86703,0.85868,0.90838,0.15644,0.00557,0.75715,0.95882,0.005974,0.005974,0.005974
63,3651.59,1.08532,0.37654,0.05382,0.86672,1.01757,0.74938,0.8277,0.87311,0.64701,0.74978,0.82039,0.8662,0.85746,0.90088,0.16218,0.00448,0.75919,0.95946,0.005908,0.005908,0.005908
64,3709.61,1.07602,0.403,0.05405,0.8669,1.01307,0.70179,0.87104,0.8578,0.63233,0.71446,0.85168,0.8577,0.84538,0.90744,0.16636,0.00559,0.76362,0.96967,0.005842,0.005842,0.005842
65,3767.21,1.06783,0.39897,0.05456,0.86057,1.01474,0.76429,0.79862,0.85095,0.63104,0.76306,0.79704,0.84544,0.83705,0.90315,0.16905,0.00604,0.76938,0.96069,0.005776,0.005776,0.005776
66,3825.24,1.07722,0.40251,0.0521,0.8663,1.01219,0.76069,0.81184,0.86201,0.63558,0.75973,0.81223,0.86059,0.8525,0.90537,0.15288,0.00658,0.75981,0.96266,0.00571,0.00571,0.00571
67,3883.43,1.07202,0.39361,0.05337,0.86435,1.00922,0.76483,0.81822,0.86342,0.64023,0.76541,0.8129,0.86218,0.84949,0.89009,0.16279,0.00533,0.75938,0.95878,0.005644,0.005644,0.005644
68,3941.49,1.06294,0.37216,0.05539,0.85439,1.00857,0.75535,0.81924,0.85805,0.64458,0.75649,0.81712,0.85267,0.8413,0.88044,0.17817,0.00607,0.75376,0.95955,0.005578,0.005578,0.005578
69,3999.3,1.06263,0.37902,0.05219,0.85618,1.00885,0.75642,0.81184,0.86869,0.65393,0.75819,0.81537,0.86723,0.85695,0.88668,0.13952,0.0045,0.76364,0.95558,0.005512,0.005512,0.005512
70,4057.18,1.05739,0.38611,0.05403,0.8551,1.00743,0.74984,0.83651,0.86676,0.64773,0.75174,0.83862,0.86844,0.85832,0.90222,0.13983,0.00483,0.77315,0.96041,0.005446,0.005446,0.005446
71,4114.54,1.06702,0.38274,0.05103,0.85729,1.01293,0.77101,0.81504,0.86944,0.65549,0.77201,0.8161,0.86931,0.86044,0.86763,0.14135,0.00506,0.76139,0.94962,0.00538,0.00538,0.00538
72,4172.81,1.06035,0.37459,0.05224,0.8492,1.00724,0.77289,0.81304,0.85596,0.64014,0.77088,0.81092,0.85408,0.84308,0.89622,0.15648,0.00407,0.7483,0.95903,0.005314,0.005314,0.005314
73,4231.06,1.04659,0.37454,0.05245,0.8343,1.00199,0.762,0.84355,0.87978,0.66499,0.76074,0.84365,0.87614,0.86617,0.88189,0.15466,0.00633,0.72528,0.95961,0.005248,0.005248,0.005248
74,4288.45,1.04799,0.36554,0.05044,0.83331,0.99444,0.75467,0.85518,0.87472,0.65917,0.74748,0.85422,0.86951,0.85934,0.87179,0.1412,0.00421,0.73504,0.95337,0.005182,0.005182,0.005182
75,4345.7,1.05582,0.37142,0.05239,0.84698,0.99969,0.73795,0.82664,0.85024,0.63254,0.73867,0.82664,0.84953,0.83867,0.90482,0.16165,0.0043,0.77075,0.96126,0.005116,0.005116,0.005116
76,4403.69,1.04536,0.36749,0.05176,0.83027,1.00567,0.79889,0.80021,0.88134,0.66259,0.79369,0.80655,0.88013,0.86756,0.87596,0.144,0.00724,0.74122,0.94742,0.00505,0.00505,0.00505
77,4461.13,1.041,0.35885,0.05127,0.83282,1.00316,0.78709,0.82848,0.87582,0.655,0.7893,0.82367,0.87161,0.86303,0.87199,0.13883,0.00445,0.73498,0.95226,0.004984,0.004984,0.004984
78,4519.21,1.03623,0.36088,0.04846,0.82346,1.00103,0.77861,0.8277,0.86886,0.65708,0.78358,0.8277,0.86709,0.85725,0.86195,0.14433,0.00477,0.72828,0.94809,0.004918,0.004918,0.004918
79,4577.22,1.03135,0.37186,0.05212,0.82874,0.99759,0.78233,0.82135,0.8761,0.66165,0.78501,0.82241,0.8756,0.8648,0.86589,0.13678,0.00492,0.72892,0.94744,0.004852,0.004852,0.004852
80,4635.6,1.03192,0.36379,0.04908,0.82535,0.99632,0.76109,0.83852,0.87507,0.65825,0.75691,0.83934,0.87493,0.86561,0.87748,0.14801,0.00446,0.72017,0.95524,0.004786,0.004786,0.004786
81,4693.45,1.03349,0.35733,0.04748,0.82769,0.99552,0.77649,0.82996,0.87095,0.65785,0.77871,0.83695,0.87229,0.85966,0.86589,0.15037,0.00617,0.73353,0.95203,0.00472,0.00472,0.00472
82,4751.4,1.03775,0.36568,0.04796,0.83067,1.00122,0.77406,0.82347,0.87197,0.66164,0.7684,0.82241,0.86692,0.85819,0.84626,0.15211,0.00354,0.73039,0.94336,0.004654,0.004654,0.004654
83,4808.68,1.03228,0.35401,0.05185,0.81841,1.00063,0.76909,0.81818,0.86218,0.65044,0.77306,0.82241,0.86449,0.85193,0.84207,0.14349,0.00423,0.72538,0.94542,0.004588,0.004588,0.004588
84,4866.35,1.02775,0.33852,0.04887,0.81788,0.99253,0.7777,0.84249,0.88104,0.66829,0.79045,0.82875,0.87963,0.87152,0.8474,0.13507,0.00575,0.70322,0.94136,0.004522,0.004522,0.004522
85,4924.01,1.02093,0.35533,0.04782,0.81115,0.99161,0.78711,0.83638,0.88013,0.66416,0.79279,0.82908,0.87554,0.86721,0.87517,0.15303,0.00465,0.72875,0.95011,0.004456,0.004456,0.004456
86,4982.28,1.02541,0.34018,0.04927,0.82059,0.98851,0.76649,0.82981,0.87825,0.6619,0.76733,0.82347,0.87542,0.86756,0.85814,0.14927,0.00365,0.72795,0.94607,0.00439,0.00439,0.00439
87,5039.82,1.00977,0.34285,0.0469,0.80682,0.98681,0.8033,0.80973,0.88133,0.66856,0.80121,0.80761,0.87896,0.87341,0.84223,0.12543,0.00397,0.70852,0.93477,0.004324,0.004324,0.004324
88,5097.85,1.02778,0.3487,0.04939,0.81299,0.99362,0.77554,0.84005,0.8836,0.67644,0.77652,0.84111,0.88469,0.87475,0.84758,0.13274,0.00493,0.71639,0.94125,0.004258,0.004258,0.004258
89,5157.38,0.9997,0.31927,0.0484,0.79815,0.9829,0.77867,0.83827,0.8843,0.6766,0.77535,0.84038,0.88514,0.87328,0.84316,0.1249,0.00478,0.70761,0.93499,0.004192,0.004192,0.004192
90,5215.96,1.01315,0.34644,0.0463,0.80411,0.99257,0.79679,0.82452,0.88661,0.67829,0.78987,0.82558,0.88476,0.87683,0.83123,0.11852,0.00273,0.71507,0.93653,0.004126,0.004126,0.004126
91,5273.45,1.0029,0.33725,0.04819,0.79549,0.98258,0.79445,0.83087,0.88838,0.67784,0.79512,0.82558,0.88775,0.87929,0.83644,0.1334,0.00391,0.70471,0.93433,0.00406,0.00406,0.00406
