epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3347.11,1.03704,0.37554,0.06476,0.86472,0.94118,0.74031,0.8203,0.85486,0.64742,0.73935,0.81924,0.85358,0.84329,0.88254,0.14938,0.00679,0.75347,0.90503,0.006238,0.006238,0.006238
59,3404.73,1.04855,0.37836,0.06662,0.86568,0.95237,0.77203,0.82664,0.87945,0.66358,0.77517,0.82734,0.87927,0.87067,0.86383,0.14076,0.00706,0.73439,0.91046,0.006172,0.006172,0.006172
60,3461.85,1.03917,0.36215,0.06606,0.85335,0.94139,0.76238,0.80021,0.86466,0.66424,0.76238,0.80021,0.86256,0.85568,0.88698,0.15492,0.00797,0.76368,0.9082,0.006106,0.006106,0.006106
61,3518.85,1.05301,0.38264,0.06362,0.86852,0.94476,0.76232,0.80444,0.86067,0.64133,0.76631,0.80761,0.86039,0.85214,0.88501,0.15704,0.00871,0.76675,0.91139,0.00604,0.00604,0.00604
62,3576.36,1.02414,0.35858,0.06456,0.847,0.93847,0.74139,0.83035,0.84993,0.65569,0.74139,0.83035,0.85022,0.84276,0.88044,0.14692,0.0069,0.76117,0.90948,0.005974,0.005974,0.005974
63,3633.84,1.03544,0.34285,0.06664,0.85366,0.93869,0.78982,0.78541,0.86867,0.65735,0.78981,0.78649,0.86678,0.85599,0.88119,0.16823,0.00994,0.7696,0.90819,0.005908,0.005908,0.005908
64,3691.43,1.02969,0.37426,0.06346,0.84566,0.9412,0.75162,0.81572,0.85117,0.64626,0.75162,0.81572,0.84947,0.84248,0.86577,0.14439,0.00934,0.75045,0.90516,0.005842,0.005842,0.005842
65,3749.45,1.03629,0.34801,0.06348,0.84547,0.94165,0.75201,0.83298,0.8695,0.65966,0.75296,0.83404,0.86984,0.86098,0.86336,0.12936,0.00793,0.74189,0.90169,0.005776,0.005776,0.005776
66,3806.87,1.02125,0.35801,0.06198,0.84674,0.93741,0.74932,0.81204,0.84626,0.6333,0.75093,0.80949,0.84263,0.83118,0.90223,0.18967,0.00706,0.78414,0.91368,0.00571,0.00571,0.00571
67,3864.03,1.03058,0.35141,0.06456,0.84605,0.93805,0.7586,0.8351,0.87157,0.67328,0.7586,0.8351,0.87061,0.86395,0.84977,0.15045,0.00747,0.74194,0.90614,0.005644,0.005644,0.005644
68,3921.21,1.01791,0.34087,0.06437,0.83002,0.93776,0.78088,0.81712,0.86632,0.66613,0.78114,0.81496,0.86354,0.85586,0.85238,0.14451,0.00831,0.73522,0.9008,0.005578,0.005578,0.005578
69,3978.93,1.01971,0.35247,0.05976,0.83673,0.93601,0.75215,0.82875,0.87481,0.6748,0.75178,0.82981,0.8728,0.86258,0.8572,0.14775,0.00918,0.74101,0.89939,0.005512,0.005512,0.005512
70,4036.78,1.00992,0.35733,0.06262,0.8372,0.9374,0.77285,0.83439,0.87132,0.66694,0.77285,0.83439,0.86909,0.8594,0.87697,0.15166,0.00688,0.75861,0.91174,0.005446,0.005446,0.005446
71,4094.48,1.02178,0.34492,0.05876,0.83922,0.93718,0.77754,0.82393,0.87987,0.67037,0.77711,0.82347,0.87725,0.8693,0.84588,0.15112,0.00626,0.73556,0.89919,0.00538,0.00538,0.00538
72,4152.51,1.01409,0.34484,0.06246,0.83093,0.93463,0.74999,0.84351,0.86595,0.67151,0.74999,0.84351,0.8651,0.8572,0.83633,0.13791,0.00697,0.71492,0.90071,0.005314,0.005314,0.005314
73,4210.45,1.00949,0.34598,0.06127,0.81757,0.9348,0.76919,0.85201,0.88883,0.68571,0.76919,0.85201,0.88749,0.88091,0.8646,0.137,0.00601,0.71434,0.90253,0.005248,0.005248,0.005248
74,4267.18,1.00727,0.31659,0.05875,0.81299,0.92615,0.78643,0.81395,0.87976,0.68733,0.79453,0.80867,0.88077,0.87349,0.84019,0.13718,0.00649,0.727,0.89332,0.005182,0.005182,0.005182
75,4324.61,1.00185,0.35257,0.06383,0.83094,0.93101,0.72669,0.85412,0.86114,0.66306,0.73031,0.84159,0.85836,0.85091,0.87272,0.15719,0.00507,0.75176,0.90892,0.005116,0.005116,0.005116
76,4382.17,1.01423,0.33132,0.06187,0.82305,0.93681,0.75661,0.86258,0.87242,0.66967,0.75589,0.86258,0.86997,0.86185,0.87135,0.13708,0.00681,0.72567,0.90228,0.00505,0.00505,0.00505
77,4439.42,1.00305,0.32828,0.06144,0.81849,0.9353,0.77981,0.81924,0.87337,0.67154,0.78081,0.8203,0.87297,0.86289,0.84119,0.14028,0.00458,0.73499,0.8973,0.004984,0.004984,0.004984
78,4497.03,0.99459,0.32492,0.05897,0.80872,0.93298,0.76553,0.82664,0.86706,0.67507,0.76229,0.82558,0.86527,0.85765,0.82977,0.1461,0.00591,0.73533,0.89805,0.004918,0.004918,0.004918
79,4554.8,0.98756,0.32429,0.05911,0.80703,0.93139,0.76341,0.83404,0.87081,0.67311,0.76423,0.83263,0.87034,0.86068,0.84105,0.13785,0.00601,0.73195,0.8993,0.004852,0.004852,0.004852
80,4612.53,0.98742,0.32242,0.05866,0.8086,0.92754,0.79135,0.83615,0.87522,0.67438,0.79034,0.8351,0.87143,0.86424,0.85074,0.14902,0.00793,0.71341,0.90039,0.004786,0.004786,0.004786
81,4670.36,0.99528,0.32644,0.0556,0.80265,0.92771,0.76881,0.82875,0.87486,0.68447,0.77077,0.83087,0.8738,0.86595,0.83208,0.13468,0.00494,0.73549,0.89675,0.00472,0.00472,0.00472
82,4727.91,0.98589,0.32893,0.05666,0.8018,0.92775,0.77776,0.80279,0.87051,0.68048,0.78152,0.80444,0.86992,0.86259,0.81872,0.12561,0.00659,0.72053,0.8901,0.004654,0.004654,0.004654
83,4785.78,0.97928,0.30916,0.05817,0.79785,0.92883,0.75139,0.81469,0.8557,0.64237,0.75334,0.8168,0.85322,0.8452,0.89774,0.15998,0.00641,0.75646,0.91012,0.004588,0.004588,0.004588
84,4843.54,0.97131,0.30336,0.05646,0.79239,0.92515,0.77831,0.84461,0.8812,0.68743,0.77967,0.84567,0.88096,0.87398,0.82904,0.13086,0.00582,0.71524,0.89302,0.004522,0.004522,0.004522
85,4901.19,0.98253,0.31628,0.05601,0.7918,0.92397,0.78933,0.8277,0.87952,0.68296,0.78974,0.8277,0.87886,0.87015,0.82597,0.14513,0.00567,0.72743,0.89477,0.004456,0.004456,0.004456
86,4958.82,0.96571,0.30836,0.05597,0.78928,0.92105,0.79728,0.82347,0.88347,0.69816,0.77309,0.84995,0.88142,0.87683,0.80338,0.11757,0.00775,0.70519,0.89007,0.00439,0.00439,0.00439
